Beige
Oliva
Grigio chiaro
Bluviola
Multicolore
Bordo
Marrone chiaro
Fango
Oliva scuro
Giallo chiaro
Verde scuro
Noce
Oro
Panna
Marrone scuro
Blu scuro
Rosa chiaro
Turchese scuro
Arancione scuro
Azzurro scuro
Arancione chiaro
Oliva chiaro
Lilla
Viola scuro
Verde chiaro
